Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Israel,8655541,2021-02-27,773335,8.934565731
Luxembourg,625976,2021-03-03,55902,8.930374327
Bahrain,1701583,2021-04-07,151931,8.928803355
Czechia,10708982,2021-01-27,956155,8.928533076
United States,331002647,2021-03-16,29551309,8.92781652
Lithuania,2722291,2021-04-27,242926,8.923586788
Estonia,1326539,2021-04-20,118317,8.919225142
San Marino,33938,2021-01-31,3025,8.913312511
San Marino,33938,2021-02-01,3025,8.913312511
Sweden,10099270,2021-04-16,900138,8.912901626
Sweden,10099270,2021-04-17,900138,8.912901626
Sweden,10099270,2021-04-18,900138,8.912901626
Sweden,10099270,2021-04-19,900138,8.912901626
United States,331002647,2021-03-15,29497352,8.911515442
Israel,8655541,2021-02-26,770780,8.905047068
Slovenia,2078932,2021-02-22,185014,8.899473383
Serbia,6804596,2021-04-01,605406,8.897016076
United States,331002647,2021-03-14,29440686,8.894395941
Netherlands,17134873,2021-04-30,1522973,8.888148748
Slovenia,2078932,2021-02-21,184767,8.887592283
Luxembourg,625976,2021-03-02,55632,8.887241683
Montenegro,628062,2021-01-18,55803,8.884950849
Lithuania,2722291,2021-04-26,241872,8.884869399
United States,331002647,2021-03-13,29402465,8.882848904
Estonia,1326539,2021-04-19,117782,8.878894627
Israel,8655541,2021-02-25,767726,8.869763311
Slovenia,2078932,2021-02-20,184352,8.86763011
United States,331002647,2021-03-12,29349533,8.866857491
Lithuania,2722291,2021-04-25,241297,8.863747483
Bahrain,1701583,2021-04-06,150811,8.862982294
Luxembourg,625976,2021-03-01,55480,8.862959602
Estonia,1326539,2021-04-18,117554,8.861707044
Andorra,77265,2020-12-02,6842,8.855238465
United States,331002647,2021-03-11,29288010,8.84827063
Netherlands,17134873,2021-04-29,1515165,8.842580858
Czechia,10708982,2021-01-26,946946,8.842539842
Sweden,10099270,2021-04-15,892480,8.837074363
Montenegro,628062,2021-01-17,55493,8.835592664
Lithuania,2722291,2021-04-24,240522,8.835278815
United States,331002647,2021-03-10,29225536,8.829396461
San Marino,33938,2021-01-29,2996,8.827862573
San Marino,33938,2021-01-30,2996,8.827862573
Serbia,6804596,2021-03-31,600596,8.826328558
Israel,8655541,2021-02-24,763756,8.823896739
Slovenia,2078932,2021-02-19,183396,8.82164496
Estonia,1326539,2021-04-17,117011,8.820773456
United States,331002647,2021-03-09,29167616,8.811898111
Luxembourg,625976,2021-02-26,55110,8.803851905
Luxembourg,625976,2021-02-27,55110,8.803851905
Luxembourg,625976,2021-02-28,55110,8.803851905
Bahrain,1701583,2021-04-05,149791,8.803038112
Estonia,1326539,2021-04-16,116678,8.795670538
United States,331002647,2021-03-08,29109974,8.794483749
Netherlands,17134873,2021-04-28,1506476,8.791871408
Lithuania,2722291,2021-04-23,239263,8.789031004
Andorra,77265,2020-12-01,6790,8.787937617
United States,331002647,2021-03-07,29064938,8.780877816
Montenegro,628062,2021-01-16,55136,8.778751142
Slovenia,2078932,2021-02-18,182484,8.777776281
Czechia,10708982,2021-01-25,940004,8.777715753
Israel,8655541,2021-02-23,759572,8.775557761
United States,331002647,2021-03-06,29023931,8.768489093
Sweden,10099270,2021-04-14,885385,8.76682176
Luxembourg,625976,2021-02-25,54871,8.765671527
Estonia,1326539,2021-04-15,116200,8.75963692
Czechia,10708982,2021-01-24,937617,8.755426053
Serbia,6804596,2021-03-30,595489,8.751276343
United States,331002647,2021-03-05,28965728,8.750905246
San Marino,33938,2021-01-28,2969,8.748305734
Bahrain,1701583,2021-04-04,148817,8.745797296
Netherlands,17134873,2021-04-27,1497806,8.741272842
Lithuania,2722291,2021-04-22,237950,8.740799569
Slovenia,2078932,2021-02-17,181606,8.735543058
Luxembourg,625976,2021-02-24,54678,8.734839674
United States,331002647,2021-03-04,28899277,8.730829576
Andorra,77265,2020-11-30,6745,8.729696499
Israel,8655541,2021-02-22,754998,8.722713
Estonia,1326539,2021-04-14,115629,8.716592577
Czechia,10708982,2021-01-23,933361,8.715683713
Montenegro,628062,2021-01-15,54730,8.714107843
United States,331002647,2021-03-03,28831226,8.710270525
Netherlands,17134873,2021-04-26,1492437,8.709939082
United States,331002647,2021-03-02,28764033,8.689970688
Lithuania,2722291,2021-04-21,236533,8.688747823
Andorra,77265,2020-11-29,6712,8.686986346
Bahrain,1701583,2021-04-03,147770,8.684266357
Slovenia,2078932,2021-02-16,180520,8.683304697
Luxembourg,625976,2021-02-23,54354,8.683080501
Sweden,10099270,2021-04-13,876506,8.678904515
Estonia,1326539,2021-04-13,115080,8.675206684
Netherlands,17134873,2021-04-25,1486205,8.673568809
United States,331002647,2021-03-01,28706973,8.672732155
San Marino,33938,2021-01-27,2941,8.665802345
Israel,8655541,2021-02-21,750043,8.665466434
United States,331002647,2021-02-28,28648744,8.655140453
Luxembourg,625976,2021-02-22,54172,8.654005904
Montenegro,628062,2021-01-14,54316,8.648190784
Slovenia,2078932,2021-02-15,179780,8.647709497
Lithuania,2722291,2021-04-20,235383,8.646503992
United States,331002647,2021-02-27,28597387,8.639624867
Czechia,10708982,2021-01-22,924847,8.636180358
Slovenia,2078932,2021-02-14,179477,8.633134706
Estonia,1326539,2021-04-12,114443,8.627186988
Netherlands,17134873,2021-04-24,1478144,8.626524399
United States,331002647,2021-02-26,28532812,8.620115959
Slovenia,2078932,2021-02-13,179148,8.617309272
Bahrain,1701583,2021-04-02,146454,8.606926609
Estonia,1326539,2021-04-11,114174,8.606908655
Serbia,6804596,2021-03-28,585506,8.604566678
Serbia,6804596,2021-03-29,585506,8.604566678
Lithuania,2722291,2021-04-19,234232,8.604223428
Israel,8655541,2021-02-19,744513,8.601576724
Israel,8655541,2021-02-20,744513,8.601576724
United States,331002647,2021-02-25,28455466,8.596748775
Luxembourg,625976,2021-02-19,53782,8.591703196
Luxembourg,625976,2021-02-20,53782,8.591703196
Luxembourg,625976,2021-02-21,53782,8.591703196
San Marino,33938,2021-01-26,2915,8.589192056
Lithuania,2722291,2021-04-18,233631,8.582146435
Netherlands,17134873,2021-04-23,1470037,8.57921153
Estonia,1326539,2021-04-10,113736,8.573890402
United States,331002647,2021-02-24,28377965,8.573334762
Montenegro,628062,2021-01-13,53840,8.572402088
Israel,8655541,2021-02-18,741934,8.571780782
Slovenia,2078932,2021-02-12,178133,8.568486127
Czechia,10708982,2021-01-21,917359,8.566257745
Luxembourg,625976,2021-02-18,53562,8.556558079
Andorra,77265,2020-11-27,6610,8.554973144
Andorra,77265,2020-11-28,6610,8.554973144
Lithuania,2722291,2021-04-17,232829,8.552685955
United States,331002647,2021-02-23,28303233,8.5507573
Serbia,6804596,2021-03-27,581617,8.54741413
Belgium,11589616,2021-04-30,990229,8.544105344
Bahrain,1701583,2021-04-01,145380,8.543808912
Israel,8655541,2021-02-17,738629,8.533597149
United States,331002647,2021-02-22,28230970,8.528925752
Estonia,1326539,2021-04-09,113098,8.525795322
Netherlands,17134873,2021-04-22,1460753,8.525029628
Slovenia,2078932,2021-02-11,177140,8.520721216
Luxembourg,625976,2021-02-17,53329,8.519336205
Belgium,11589616,2021-04-29,986622,8.512982656
San Marino,33938,2021-01-25,2889,8.512581767
United States,331002647,2021-02-21,28174750,8.511940994
Lithuania,2722291,2021-04-16,231601,8.50757689
United States,331002647,2021-02-20,28117670,8.494696419
Montenegro,628062,2021-01-12,53338,8.492473673
Sweden,10099270,2021-04-09,857401,8.489732426
Sweden,10099270,2021-04-10,857401,8.489732426
Sweden,10099270,2021-04-11,857401,8.489732426
Sweden,10099270,2021-04-12,857401,8.489732426
Czechia,10708982,2021-01-20,909131,8.489425045
Bahrain,1701583,2021-03-31,144445,8.488860079
Israel,8655541,2021-02-16,734575,8.4867601
Belgium,11589616,2021-04-28,982959,8.481376777
Luxembourg,625976,2021-02-16,53062,8.476682812
Estonia,1326539,2021-04-08,112421,8.47476026
United States,331002647,2021-02-19,28046145,8.47308783
Netherlands,17134873,2021-04-21,1451071,8.468524978
San Marino,33938,2021-01-23,2874,8.468383523
San Marino,33938,2021-01-24,2874,8.468383523
Lithuania,2722291,2021-04-15,230462,8.465737131
Andorra,77265,2020-11-26,6534,8.456610367
Slovenia,2078932,2021-02-10,175795,8.456024536
Luxembourg,625976,2021-02-15,52923,8.454477488
Panama,4314768,2021-04-30,364576,8.449492534
United States,331002647,2021-02-18,27966848,8.449131224
Belgium,11589616,2021-04-27,979034,8.447510254
Panama,4314768,2021-04-29,364218,8.441195448
Bahrain,1701583,2021-03-30,143574,8.43767245
Israel,8655541,2021-02-15,730293,8.4372889
Panama,4314768,2021-04-28,363895,8.43370953
San Marino,33938,2021-01-22,2861,8.430078378
United States,331002647,2021-02-17,27896924,8.428006317
Panama,4314768,2021-04-27,363533,8.425319739
Belgium,11589616,2021-04-26,976088,8.422090948
Lithuania,2722291,2021-04-14,229260,8.421583144
Netherlands,17134873,2021-04-20,1442481,8.418393297
Estonia,1326539,2021-04-07,111664,8.417694467
Panama,4314768,2021-04-26,363165,8.416790891
Sweden,10099270,2021-04-08,849629,8.412776369
Panama,4314768,2021-04-25,362967,8.412202
Montenegro,628062,2021-01-11,52819,8.409838519
Belgium,11589616,2021-04-25,974418,8.407681497
United States,331002647,2021-02-16,27826806,8.406822801
Panama,4314768,2021-04-24,362696,8.405921245
Serbia,6804596,2021-03-25,571895,8.404540108
Serbia,6804596,2021-03-26,571895,8.404540108
Czechia,10708982,2021-01-19,899503,8.399519207
Panama,4314768,2021-04-23,362358,8.398087684
Luxembourg,625976,2021-02-12,52539,8.393133283
Luxembourg,625976,2021-02-13,52539,8.393133283
Luxembourg,625976,2021-02-14,52539,8.393133283
Panama,4314768,2021-04-22,361992,8.389605189
United States,331002647,2021-02-15,27764087,8.387874614
Slovenia,2078932,2021-02-09,174364,8.387191115
Belgium,11589616,2021-04-24,972041,8.387171758
Bahrain,1701583,2021-03-29,142669,8.384486681
Panama,4314768,2021-04-21,361678,8.382327856
Netherlands,17134873,2021-04-19,1435601,8.378241263
Panama,4314768,2021-04-20,361319,8.374007594
United States,331002647,2021-02-14,27709901,8.371504352
Lithuania,2722291,2021-04-13,227889,8.371221152
Slovenia,2078932,2021-02-08,174000,8.369682125
Luxembourg,625976,2021-02-11,52392,8.369649955
Israel,8655541,2021-02-14,724380,8.368974279
Panama,4314768,2021-04-19,361044,8.367634135
